Nome,Preço,Link,Imagem,Cor,Categoria_Principal,Subcategoria,Descricao
"T-shirt às Riscas, Mulher, Branco",4.99,https://mo-online.com/pt/t-shirt-as-riscas-mulher-branco/000041152476041.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwa90f4f90/images/hires/37c7d184-eeca-402f-84f8-a9c3b9eb774c.jpg?sw=1080&sh=1388,Branco,T-shirts,Tops,"T-shirt às Riscas, Mulher, Branco T-shirts Tops"
"Tank Top, Mulher, Azul Escuro",9.99,https://mo-online.com/pt/tank-top-mulher-azul-escuro/000041152316006.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw0bb92b5c/images/hires/34c0617c-22cd-4c81-8f1f-e126ed3b7e4a.jpg?sw=1080&sh=1388,Azul Escuro,T-shirts,Tops,"Tank Top, Mulher, Azul Escuro T-shirts Tops"
"Top Jersey, Mulher, Lilás",3.99,https://mo-online.com/pt/top-jersey-mulher-lilas/000041152262039.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwbdc2b054/images/hires/738c46c7-84c3-4268-8c12-cc3f0a5f5420.jpg?sw=1080&sh=1388,Lilás,T-shirts,Tops,"Top Jersey, Mulher, Lilás T-shirts Tops"
"T-shirt Decote em V, Mulher, Castanho Escuro",7.99,https://mo-online.com/pt/t-shirt-decote-em-v-mulher-castanho-escuro/000041152318007.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw183a70c6/images/hires/113a64bd-d971-4f2b-a397-3a5484e6bbcd.jpg?sw=1080&sh=1388,Castanho Escuro,T-shirts,Tops,"T-shirt Decote em V, Mulher, Castanho Escuro T-shirts Tops"
"Tank Top, Mulher, Vermelho Escuro",9.99,https://mo-online.com/pt/tank-top-mulher-vermelho-escuro/000041152316014.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw9fcf209a/images/hires/18dfffad-2dbd-4a0f-8349-fe13e30e13d8.jpg?sw=1080&sh=1388,Vermelho Escuro,T-shirts,Tops,"Tank Top, Mulher, Vermelho Escuro T-shirts Tops"
"Tank Top, Mulher, Cru",9.99,https://mo-online.com/pt/tank-top-mulher-cru/000041152316017.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwe36deef9/images/hires/d5b6e182-9a78-4801-80f4-87fbcce8b6f6.jpg?sw=1080&sh=1388,Cru,T-shirts,Tops,"Tank Top, Mulher, Cru T-shirts Tops"
"Tank Top Canelado, Mulher, Castanho Escuro",5.99,https://mo-online.com/pt/tank-top-canelado-mulher-castanho-escuro/000041152341007.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw45bcab6d/images/hires/0e44f97d-2609-45fa-8675-acdd06688c22.jpg?sw=1080&sh=1388,Castanho Escuro,T-shirts,Tops,"Tank Top Canelado, Mulher, Castanho Escuro T-shirts Tops"
"T-shirt Modal, Mulher, Bege Claro",7.99,https://mo-online.com/pt/t-shirt-modal-mulher-bege-claro/000041152334021.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw25bf7b81/images/hires/a7e467f4-c225-4de1-9e5d-8ae377c35300.jpg?sw=1080&sh=1388,Bege Claro,T-shirts,Tops,"T-shirt Modal, Mulher, Bege Claro T-shirts Tops"
"T-shirt Decote em V, Mulher, Bege Escuro",7.99,https://mo-online.com/pt/t-shirt-decote-em-v-mulher-bege-escuro/000041152318005.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwfbe54ca2/images/hires/f9375b1a-1f8e-4843-ba09-4fa09d8bac4a.jpg?sw=1080&sh=1388,Bege Escuro,T-shirts,Tops,"T-shirt Decote em V, Mulher, Bege Escuro T-shirts Tops"
"T-shirt Modal Às Riscas, Mulher, Preto",7.99,https://mo-online.com/pt/t-shirt-modal-as-riscas-mulher-preto/000041152334002.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw831f8d6a/images/hires/b46b2763-9b50-4a50-a7f7-c8f9a35000bd.jpg?sw=1080&sh=1388,Preto,T-shirts,Tops,"T-shirt Modal Às Riscas, Mulher, Preto T-shirts Tops"
"T-shirt Decote em V, Mulher, Cru",7.99,https://mo-online.com/pt/t-shirt-decote-em-v-mulher-cru/000041152318021.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwcfb3724b/images/hires/4dc4c33e-6a47-4ea7-8e82-359e779855d2.jpg?sw=1080&sh=1388,Cru,T-shirts,Tops,"T-shirt Decote em V, Mulher, Cru T-shirts Tops"
"Tank Top, Mulher, Castanho Claro",9.99,https://mo-online.com/pt/tank-top-mulher-castanho-claro/000041152316023.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw13a6f2cf/images/hires/1c99bb14-8da6-49df-b040-a7094ecc645a.jpg?sw=1080&sh=1388,Castanho Claro,T-shirts,Tops,"Tank Top, Mulher, Castanho Claro T-shirts Tops"
"T-shirt Modal, Mulher, Castanho Claro",7.99,https://mo-online.com/pt/t-shirt-modal-mulher-castanho-claro/000041152334023.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw64737a26/images/hires/461fb743-5c0d-4e5d-8c1d-abe0c2773930.jpg?sw=1080&sh=1388,Castanho Claro,T-shirts,Tops,"T-shirt Modal, Mulher, Castanho Claro T-shirts Tops"
"Top de Alças, Mulher, Vermelho Escuro",5.99,https://mo-online.com/pt/top-de-alcas-mulher-vermelho-escuro/000041152340039.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw3c254a5e/images/hires/9322ac05-e15b-4a12-a4af-9b87701ed74b.jpg?sw=1080&sh=1388,Vermelho Escuro,T-shirts,Tops,"Top de Alças, Mulher, Vermelho Escuro T-shirts Tops"
"Calças Liocel, Mulher, Azul",19.99,https://mo-online.com/pt/calcas-liocel-mulher-azul/000041152474003.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwe41e15e1/images/hires/fe25e1a8-4140-41de-bf15-a8c6635c219a.jpg?sw=1080&sh=1388,Azul,Calças,Leggings,"Calças Liocel, Mulher, Azul Leggings"
"Sandálias Crochet, Mulher, Bege",22.99,https://mo-online.com/pt/sandalias-crochet-mulher-bege/000041152227001.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw8c1cc116/images/hires/c929d7ac-6c7f-42cb-9da7-a4c20d4b319e.jpg?sw=1080&sh=1388,Bege,Calçado,,"Sandálias Crochet, Mulher, Bege Calçado"
"Calções Liocel, Mulher, Azul Claro",17.99,https://mo-online.com/pt/calcoes-liocel-mulher-azul-claro/000041152255022.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw4ff62e62/images/hires/78cd8cc3-0647-4983-a779-9764a1dd0f1d.jpg?sw=1080&sh=1388,Azul Claro,Saias,Calções,"Calções Liocel, Mulher, Azul Claro Saias"
"Calças de Ganga 'Straight', Mulher, Cinzento",22.99,https://mo-online.com/pt/calcas-de-ganga-straight-mulher-cinzento/000041154955020.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw638bddb3/images/hires/998172f8-4b82-4cf3-8ed7-a22ad63e5570.jpg?sw=1080&sh=1388,Cinzento,Jeans,,"Calças de Ganga 'Straight', Mulher, Cinzento Jeans"
"Pack 3 Cuecas Brief, Mulher, Brege",12.99,https://mo-online.com/pt/pack-3-cuecas-brief-mulher-brege/000041152168001.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwd50527d9/images/hires/c2f3336b-79f5-4034-aae3-bea59dff82af.jpg?sw=1080&sh=1388,Brege,Roupa Interior,,"Pack 3 Cuecas Brief, Mulher, Brege Roupa Interior"
"T-shirt Modal, Mulher, Roxo",7.99,https://mo-online.com/pt/t-shirt-modal-mulher-roxo/000041152334039.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw665f09b0/images/hires/2c5398e2-c345-4c72-aef6-a0e7e02d15e0.jpg?sw=1080&sh=1388,Roxo,T-shirts,Tops,"T-shirt Modal, Mulher, Roxo T-shirts Tops"
"Calções Liocel, Mulher, Verde Claro",17.99,https://mo-online.com/pt/calcoes-liocel-mulher-verde-claro/000041152255027.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwc515ba59/images/hires/174b9d44-69af-4164-89de-64f608a17c72.jpg?sw=1080&sh=1388,Verde Claro,Saias,Calções,"Calções Liocel, Mulher, Verde Claro Saias"
"Tank Top, Mulher, Verde Claro",5.99,https://mo-online.com/pt/tank-top-mulher-verde-claro/000041152339026.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw6487cc7a/images/hires/3e529b30-5227-4ce6-9d08-dc5deea745e1.jpg?sw=1080&sh=1388,Verde Claro,T-shirts,Tops,"Tank Top, Mulher, Verde Claro T-shirts Tops"
"Calças de Ganga 'Straight', Mulher, Rosa",22.99,https://mo-online.com/pt/calcas-de-ganga-straight-mulher-rosa/000041154955013.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw01528290/images/hires/f76a54ed-c728-43fe-aa22-296e8bc44547.jpg?sw=1080&sh=1388,Rosa,Jeans,,"Calças de Ganga 'Straight', Mulher, Rosa Jeans"
"Tank Top, Mulher, Vermelho Escuro",5.99,https://mo-online.com/pt/tank-top-mulher-vermelho-escuro/000041152339014.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw80709467/images/hires/548c4122-1c0c-4f01-ae01-1e78c0db163c.jpg?sw=1080&sh=1388,Vermelho Escuro,T-shirts,Tops,"Tank Top, Mulher, Vermelho Escuro T-shirts Tops"
"Calças Liocel, Mulher, Verde Claro",19.99,https://mo-online.com/pt/calcas-liocel-mulher-verde-claro/000041152474027.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw9027b0ee/images/hires/68ef41be-0734-43d4-9774-939a25ec9ba4.jpg?sw=1080&sh=1388,Verde Claro,Calças,Leggings,"Calças Liocel, Mulher, Verde Claro Leggings"
"Tank Top Canelado, Mulher, Azul",5.99,https://mo-online.com/pt/tank-top-canelado-mulher-azul/000041152341003.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwb77da5b1/images/hires/a8ce25bf-3419-4461-a19e-10ec0ace5839.jpg?sw=1080&sh=1388,Azul,T-shirts,Tops,"Tank Top Canelado, Mulher, Azul T-shirts Tops"
"Top de Alças, Mulher, Castanho",5.99,https://mo-online.com/pt/top-de-alcas-mulher-castanho/000041152340007.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwc28027e3/images/hires/ea932e9e-8eaa-460c-92f9-1ddc97ce546b.jpg?sw=1080&sh=1388,Castanho,T-shirts,Tops,"Top de Alças, Mulher, Castanho T-shirts Tops"
"T-shirt Decote em V, Mulher, Vermelho Escuro",7.99,https://mo-online.com/pt/t-shirt-decote-em-v-mulher-vermelho-escuro/000041152318039.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw4aff31c1/images/hires/6ab81b89-1996-4964-af4d-c82676074e1f.jpg?sw=1080&sh=1388,Vermelho Escuro,T-shirts,Tops,"T-shirt Decote em V, Mulher, Vermelho Escuro T-shirts Tops"
"Calções Liocel, Mulher, Cinzento Escuro",17.99,https://mo-online.com/pt/calcoes-liocel-mulher-cinzento-escuro/000041152255010.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw009fc026/images/hires/e1c06246-abbb-4149-bd7b-3e6574b4e9ee.jpg?sw=1080&sh=1388,Cinzento Escuro,Saias,Calções,"Calções Liocel, Mulher, Cinzento Escuro Saias"
"Camisa Liocel, Mulher, Verde Claro",17.99,https://mo-online.com/pt/camisa-liocel-mulher-verde-claro/000041152475027.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwe2933e57/images/hires/f30efcc4-4d99-49b8-b69f-c08e16effe3e.jpg?sw=1080&sh=1388,Verde Claro,Blusas,Camisas,"Camisa Liocel, Mulher, Verde Claro Blusas Camisas"
"Calças Liocel, Mulher, Bege",19.99,https://mo-online.com/pt/calcas-liocel-mulher-bege/000041152474001.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw5e5a3e93/images/hires/f432b4d1-ea64-4fc0-a9fe-262681424054.jpg?sw=1080&sh=1388,Bege,Calças,Leggings,"Calças Liocel, Mulher, Bege Leggings"
"Pack 3 Cuecas Brief, Mulher, Multicolor",12.99,https://mo-online.com/pt/pack-3-cuecas-brief-mulher-multicolor/000041152168035.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwf4cff702/images/hires/a93429e5-9a0b-4efa-ad64-4d6bba10b33c.jpg?sw=1080&sh=1388,Multicolor,Roupa Interior,,"Pack 3 Cuecas Brief, Mulher, Multicolor Roupa Interior"
"Camisa Liocel, Mulher, Azul",17.99,https://mo-online.com/pt/camisa-liocel-mulher-azul/000041152475003.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw6a3ec0b0/images/hires/4830c1fd-c819-498a-aac8-b761148f7570.jpg?sw=1080&sh=1388,Azul,Blusas,Camisas,"Camisa Liocel, Mulher, Azul Blusas Camisas"
"T-shirt Estampada, Mulher, Branco",7.99,https://mo-online.com/pt/t-shirt-estampada-mulher-branco/000041152253041.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw570d3c32/images/hires/d3dc404a-db96-451f-8649-fdd8c67fbea5.jpg?sw=1080&sh=1388,Branco,T-shirts,Tops,"T-shirt Estampada, Mulher, Branco T-shirts Tops"
"Sandálias Crochet, Mulher, Preto",22.99,https://mo-online.com/pt/sandalias-crochet-mulher-preto/000041152207002.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw1d16f8ec/images/hires/ee03370f-277c-4065-85dd-28e571a182b2.jpg?sw=1080&sh=1388,Preto,Calçado,,"Sandálias Crochet, Mulher, Preto Calçado"
"Camisa Liocel, Mulher, Bege",17.99,https://mo-online.com/pt/camisa-liocel-mulher-bege/000041152475001.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw7855fe34/images/hires/c9a45c65-a6ca-403e-aea8-bedb21e02492.jpg?sw=1080&sh=1388,Bege,Blusas,Camisas,"Camisa Liocel, Mulher, Bege Blusas Camisas"
"Lenço Animal Print, Mulher, Preto",7.99,https://mo-online.com/pt/lenco-animal-print-mulher-preto/000041152384002.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwcf37f3e9/images/hires/54ec1c0f-542b-47c8-b558-642b0a6e673b.jpg?sw=1080&sh=1388,Preto,Lenços & Écharpes,,"Lenço Animal Print, Mulher, Preto Lenços & Écharpes"
"Lenço, Mulher, Castanho",7.99,https://mo-online.com/pt/lenco-mulher-castanho-/000041152363004.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwefec3995/images/hires/cb2dd49c-3d5f-4628-beee-805b6f645fe4.jpg?sw=1080&sh=1388,Castanho,Lenços & Écharpes,,"Lenço, Mulher, Castanho Lenços & Écharpes"
"Calças de Ganga 'Straight', Mulher, Verde Claro",22.99,https://mo-online.com/pt/calcas-de-ganga-straight-mulher-verde-claro/000041154955026.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw2bedd76e/images/hires/e8616977-bd11-49f6-bce6-9e887402e1e5.jpg?sw=1080&sh=1388,Verde Claro,Jeans,,"Calças de Ganga 'Straight', Mulher, Verde Claro Jeans"
"Calças de Ganga 'Straight', Mulher, Mostarda Claro",22.99,https://mo-online.com/pt/calcas-de-ganga-straight-mulher-mostarda-claro/000041154955733.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw9e0c5adc/images/hires/21871781-7b0d-45a8-8835-62cff6c13fdb.jpg?sw=1080&sh=1388,Mostarda Claro,Jeans,,"Calças de Ganga 'Straight', Mulher, Mostarda Claro Jeans"
"Sandálias Crochet, Mulher, Bege",22.99,https://mo-online.com/pt/sandalias-crochet-mulher-bege/000041152241001.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwbbadaa2e/images/hires/4fd81c90-bd64-478b-82f1-ab8db432eda6.jpg?sw=1080&sh=1388,Bege,Calçado,,"Sandálias Crochet, Mulher, Bege Calçado"
"Sandálias Crochet, Mulher, Preto",22.99,https://mo-online.com/pt/sandalias-crochet-mulher-preto/000041152240002.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw7b62c627/images/hires/91eada40-5494-46c7-8acd-b1af36f77112.jpg?sw=1080&sh=1388,Preto,Calçado,,"Sandálias Crochet, Mulher, Preto Calçado"
"Sandálias, Mulher, Rosa Claro",9.99,https://mo-online.com/pt/sandalias-mulher-rosa-claro/000041152082030.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw2b1b895f/images/hires/d8a9a0c2-c5e8-43e3-a3d5-d2756aba3c04.jpg?sw=1080&sh=1388,Rosa Claro,Calçado,,"Sandálias, Mulher, Rosa Claro Calçado"
"Sandálias, Mulher, Amarelo Claro",9.99,https://mo-online.com/pt/sandalias-mulher-amarelo-claro/000041152082033.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw02879cd5/images/hires/267bb509-3c94-4f4d-ba92-d5116ede972d.jpg?sw=1080&sh=1388,Amarelo Claro,Calçado,,"Sandálias, Mulher, Amarelo Claro Calçado"
"Vestido com Linho, Mulher, Amarelo",29.99,https://mo-online.com/pt/vestido-com-linho-mulher-amarelo/000041152285042.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwcab10275/images/hires/b64ec010-09e6-4f0c-ad8e-5e8bd0ff43a2.jpg?sw=1080&sh=1388,Amarelo,Vestidos,Macacões,"Vestido com Linho, Mulher, Amarelo Vestidos Macacões"
"Calças de Ganga 'Straight Cropped', Mulher, Branco",19.99,https://mo-online.com/pt/calcas-de-ganga-straight-cropped-mulher-branco/000041152271041.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwf90c583d/images/hires/bd7e52d8-82ca-460f-ad9d-faa742e76845.jpg?sw=1080&sh=1388,Branco,Jeans,,"Calças de Ganga 'Straight Cropped', Mulher, Branco Jeans"
"Calças de Ganga 'Straight Cropped', Mulher, Azul Claro",19.99,https://mo-online.com/pt/calcas-de-ganga-straight-cropped-mulher-azul-claro-/000041152271022.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwcda9266b/images/hires/ef24e1c8-f689-4102-9000-dec861020303.jpg?sw=1080&sh=1388,Azul Claro,Jeans,,"Calças de Ganga 'Straight Cropped', Mulher, Azul Claro Jeans"
"Vestido Comprido, Mulher, Amarelo",19.99,https://mo-online.com/pt/vestido-comprido-mulher-amarelo/000041152258042.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw38dd1318/images/hires/de52a0c7-ae90-45d1-aa1d-35fa6d0fc4ec.jpg?sw=1080&sh=1388,Amarelo,Vestidos,Macacões,"Vestido Comprido, Mulher, Amarelo Vestidos Macacões"
"Vestido Modal, Mulher, Azul Escuro",22.99,https://mo-online.com/pt/vestido-modal-mulher-azul-escuro/000041152223006.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwe136fd75/images/hires/e294f160-5cba-4621-9f7d-7686e4939bf6.jpg?sw=1080&sh=1388,Azul Escuro,Vestidos,Macacões,"Vestido Modal, Mulher, Azul Escuro Vestidos Macacões"
"Calças com Linho, Mulher, Bege Claro",22.99,https://mo-online.com/pt/calcas-com-linho-mulher-bege-claro-/000041152266021.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw3ca15752/images/hires/3526f346-84d4-426f-a27a-3be83a6a82ae.jpg?sw=1080&sh=1388,Bege Claro,Calças,Leggings,"Calças com Linho, Mulher, Bege Claro Leggings"
"Blusa com Linho, Mulher, Azul",22.99,https://mo-online.com/pt/blusa-com-linho-mulher-azul-/000041152282003.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw60e0bd0f/images/hires/57dc4566-9e9a-42a1-814b-f26cb8f79fdc.jpg?sw=1080&sh=1388,Azul,Blusas,Camisas,"Blusa com Linho, Mulher, Azul Blusas Camisas"
"Vestido Comprido, Mulher, Cru",19.99,https://mo-online.com/pt/vestido-comprido-mulher-cru/000041152258017.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwc4b3709a/images/hires/745846b2-be8e-4562-8ae9-900809a990af.jpg?sw=1080&sh=1388,Cru,Vestidos,Macacões,"Vestido Comprido, Mulher, Cru Vestidos Macacões"
"Vestido Modal, Mulher, Verde",22.99,https://mo-online.com/pt/vestido-modal-mulher-verde-/000041152223019.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwb62fb6bc/images/hires/6b51d5c8-849c-4735-86d3-5c083e0f31a9.jpg?sw=1080&sh=1388,Verde,Vestidos,Macacões,"Vestido Modal, Mulher, Verde Vestidos Macacões"
"Vestido Modal, Mulher, Laranja Escuro",22.99,https://mo-online.com/pt/vestido-modal-mulher-laranja-escuro/000041152223012.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwca79c6c0/images/hires/0897dcc2-68e6-45c6-8d60-24c60da49edc.jpg?sw=1080&sh=1388,Laranja Escuro,Vestidos,Macacões,"Vestido Modal, Mulher, Laranja Escuro Vestidos Macacões"
"Calções de Ganga, Mulher, Azul Claro",17.99,https://mo-online.com/pt/calcoes-de-ganga-mulher-azul-claro-/000041152287022.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw6ec540f4/images/hires/458678b0-e67c-493b-93d6-71a7d66df8e2.jpg?sw=1080&sh=1388,Azul Claro,Saias,Calções,"Calções de Ganga, Mulher, Azul Claro Saias"
